Geneid,ENCSR181WYS_1,ENCSR181WYS_2,ENCSR016WFQ_1,ENCSR016WFQ_2
ENSG00000236936,1,7,1,2
ENSG00000231105,1,3,16,30
ENSG00000236216,0,1,10,0
ENSG00000228823,0,3,6,0
ENSG00000236009,1,0,0,0
ENSG00000227001,22,44,20,33
ENSG00000187952,2,0,2,0
ENSG00000186543,1,2,10,9
ENSG00000142794,417,480,545,286
ENSG00000176378,2,0,4,0
ENSG00000162551,23,11,88,26
ENSG00000233431,0,0,20,2
ENSG00000076864,5504,5569,6750,4296
ENSG00000090686,11383,12736,14057,8307
ENSG00000231978,0,0,6,1
ENSG00000187942,2778,3190,5618,4533
ENSG00000142798,19763,25451,39621,21507
ENSG00000232037,7,5,9,19
ENSG00000283234,5,0,33,25
ENSG00000219073,2,5,91,21
ENSG00000273610,3,0,12,13
ENSG00000201919,0,0,8,6
ENSG00000142789,19,0,73,18
ENSG00000278124,6,2,1,1
ENSG00000201273,3,1,1,2
ENSG00000228397,16,26,43,17
ENSG00000218510,747,768,844,587
ENSG00000070831,13075,12427,15219,8022
ENSG00000230068,2,15,3,26
ENSG00000271428,0,4,14,3
ENSG00000271840,17,5,27,24
ENSG00000162552,13,3,13,8
ENSG00000266564,0,0,2,0
ENSG00000234397,2,3,2,9
ENSG00000279625,0,0,0,0
ENSG00000184677,6062,7183,6238,4274
ENSG00000237200,9,26,11,8
ENSG00000070886,18,2,82,3
ENSG00000276835,0,0,0,4
ENSG00000173372,3,0,7,1
ENSG00000159189,8,0,18,0
ENSG00000173369,2,1,2,1
ENSG00000133216,36,7,101,90
ENSG00000265422,1,0,0,0
ENSG00000225952,8,0,2,0
ENSG00000264014,0,0,0,6
ENSG00000215906,0,2,12,1
ENSG00000227868,18,13,32,15
ENSG00000004487,14492,15272,17804,9707
ENSG00000240553,152,232,190,116
ENSG00000263793,0,0,2,2
ENSG00000266802,0,3,2,2
ENSG00000169641,5420,6257,7319,3178
ENSG00000229010,13,0,5,24
ENSG00000206935,0,0,0,0
ENSG00000252578,0,2,0,0
ENSG00000179546,36,17,93,50
ENSG00000215381,0,0,16,0
ENSG00000261326,138,245,289,290
ENSG00000284726,27,26,24,5
ENSG00000125944,16498,16887,19084,11788
ENSG00000125945,957,1143,1197,601
ENSG00000249087,358,457,587,426
ENSG00000201405,23,35,30,15
ENSG00000271420,11,3,10,2
ENSG00000204219,38,59,52,47
ENSG00000232482,1,0,1,18
ENSG00000088280,2918,3446,5347,2428
ENSG00000007968,2082,2194,3225,2013
ENSG00000235052,15,6,12,5
ENSG00000117318,1758,1593,3160,1168
ENSG00000197880,2,6,33,43
ENSG00000229239,10,1,21,11
ENSG00000142676,35182,31273,45451,33090
ENSG00000011007,5459,5936,6014,4428
ENSG00000236810,661,677,688,416
ENSG00000057757,7231,7022,8450,6520
ENSG00000011009,5933,5973,7398,5549
ENSG00000117308,2764,3068,4395,2972
ENSG00000117305,5677,5788,7506,4333
ENSG00000179163,2231,2221,2655,1764
ENSG00000188822,32,31,58,38
ENSG00000229106,8,0,12,0
ENSG00000232557,1,2,10,12
ENSG00000264926,0,0,0,0
ENSG00000230228,0,0,0,0
ENSG00000189266,10985,11168,11617,6796
ENSG00000188529,10968,12451,12768,9221
ENSG00000215905,2,3,8,4
ENSG00000225315,2,2,7,9
ENSG00000142661,25,14,159,80
ENSG00000230703,0,0,1,0
ENSG00000142677,8,10,40,19
ENSG00000185436,14,3,84,20
ENSG00000230023,5,3,39,18
ENSG00000232298,0,1,0,0
ENSG00000158055,5,2,38,2
ENSG00000001460,554,568,721,393
ENSG00000001461,2529,2582,3409,1955
ENSG00000117602,303,379,229,139
ENSG00000264443,27,56,20,16
